fio version 2 iolog
/mnt/ms111/group2/ssd/test_file write 1310720 4096
/mnt/ms111/group2/ssd/test_file write 1314816 4096
/mnt/ms111/group2/ssd/test_file write 1318912 4096
/mnt/ms111/group2/ssd/test_file write 1323008 4096
/mnt/ms111/group2/ssd/test_file write 1327104 4096
/mnt/ms111/group2/ssd/test_file write 1331200 4096
/mnt/ms111/group2/ssd/test_file write 1335296 4096
/mnt/ms111/group2/ssd/test_file write 1339392 4096
/mnt/ms111/group2/ssd/test_file write 1343488 4096
/mnt/ms111/group2/ssd/test_file write 1347584 4096
/mnt/ms111/group2/ssd/test_file write 1351680 4096
/mnt/ms111/group2/ssd/test_file write 1355776 4096
/mnt/ms111/group2/ssd/test_file write 1359872 4096
/mnt/ms111/group2/ssd/test_file write 1363968 4096
/mnt/ms111/group2/ssd/test_file write 1368064 4096
/mnt/ms111/group2/ssd/test_file write 1372160 4096
/mnt/ms111/group2/ssd/test_file write 1376256 4096
/mnt/ms111/group2/ssd/test_file write 1380352 4096
/mnt/ms111/group2/ssd/test_file write 1384448 4096
/mnt/ms111/group2/ssd/test_file write 1388544 4096
/mnt/ms111/group2/ssd/test_file write 1392640 4096
/mnt/ms111/group2/ssd/test_file write 1396736 4096
/mnt/ms111/group2/ssd/test_file write 1400832 4096
/mnt/ms111/group2/ssd/test_file write 1404928 4096
/mnt/ms111/group2/ssd/test_file write 1409024 4096
/mnt/ms111/group2/ssd/test_file write 1413120 4096
/mnt/ms111/group2/ssd/test_file write 1417216 4096
/mnt/ms111/group2/ssd/test_file write 1421312 4096
/mnt/ms111/group2/ssd/test_file write 1425408 4096
/mnt/ms111/group2/ssd/test_file write 1429504 4096
/mnt/ms111/group2/ssd/test_file write 1433600 4096
/mnt/ms111/group2/ssd/test_file write 1437696 4096
/mnt/ms111/group2/ssd/test_file write 1441792 4096
/mnt/ms111/group2/ssd/test_file write 1445888 4096
/mnt/ms111/group2/ssd/test_file write 1449984 4096
/mnt/ms111/group2/ssd/test_file write 1454080 4096
/mnt/ms111/group2/ssd/test_file write 1458176 4096
/mnt/ms111/group2/ssd/test_file write 1462272 4096
/mnt/ms111/group2/ssd/test_file write 1466368 4096
/mnt/ms111/group2/ssd/test_file write 1470464 4096
/mnt/ms111/group2/ssd/test_file write 1474560 4096
